graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
random_regular,15,0.25,3.0,8.295866456033949,8.285048201175286,-0.0009374126914289997,0.01,0.010011179679584837,0.009999999998203123,1.0,0.9999999999654599,1.0,0.9999999999681212,0.0
random_regular,15,0.35,1.0,16.161376172302994,16.234688450254843,0.00464343807167997,0.01,0.010412075556556244,0.009999999997608634,0.13406,0.1340519222986561,0.13104,0.1310659572958198,0.0
random_regular,15,0.35,1.5,16.23437144684893,16.247513058914443,0.0009814072035598987,0.01,0.01012112616562737,0.009999999998705189,0.46454000000000006,0.46447827751396387,0.46306,0.46344951617695707,0.0
random_regular,15,0.35,2.0,16.170389004022685,16.23930322921371,0.004490715601738457,0.01,0.01042668059438795,0.009999999998220188,0.8551400000000001,0.8545367925780933,0.85254,0.8518671446374994,0.0
random_regular,15,0.35,3.0,16.256716121831523,16.22871378445417,-0.0016326819686547603,0.01,0.009887335228789073,0.009999999997346121,0.9995800000000001,0.9997361956111787,0.99962,0.9997424019005386,0.0
random_regular,30,0.15,1.0,4.870803962753423,4.872765808115609,0.00040939634357030195,0.01,0.010047493058486678,0.0099999999998036,0.89022,0.8896184159476004,0.8899800000000001,0.8893356412607611,0.0
random_regular,30,0.15,1.5,4.858339246785481,4.87219075065305,0.0028734218546690856,0.01,0.010325878052620353,0.009999999999791908,0.9999800000000001,0.9999635320694671,0.9999800000000001,0.9999619213270405,0.0
random_regular,30,0.15,2.0,4.862953790261137,4.873498226194672,0.0022614782282253435,0.01,0.010289504985518439,0.009999999999821086,1.0,0.9999999999968201,1.0,0.999999999996749,0.0
random_regular,30,0.15,3.0,4.872445201264641,4.871802091549744,-1.9407781724511965e-05,0.01,0.010047565749831866,0.00999999999978185,1.0,0.9999999999991193,1.0,0.9999999999991157,0.0
random_regular,30,0.25,1.0,13.525417610834264,13.536165119173512,0.0010375041550802402,0.01,0.010223158613749662,0.00999999999980975,0.24009999999999998,0.24005454076978414,0.2394,0.23860811277853192,0.0
random_regular,30,0.25,1.5,13.587655526977851,13.534243912465524,-0.003901694263219701,0.01,0.00959545278293139,0.009999999999792276,0.7535000000000001,0.7567498625369655,0.75812,0.7615174655597065,0.0
random_regular,30,0.25,2.0,13.499598343389383,13.534731698109699,0.002674980800991329,0.01,0.010326342212767103,0.00999999999980078,0.98948,0.9891585597163759,0.98912,0.9889026805755675,0.0
random_regular,30,0.25,3.0,13.524792497250257,13.536344202711982,0.0008774005622632375,0.01,0.010106004491179765,0.009999999999813514,1.0,0.9999999936305182,1.0,0.9999999935608459,0.0
random_regular,30,0.35,1.0,26.524447029258663,26.52950611690086,0.0002681125430556399,0.01,0.010063427033397576,0.009999999999803754,0.08132,0.08010864379082974,0.08124,0.0798487402943889,0.0
random_regular,30,0.35,1.5,26.564375316815084,26.530953331532295,-0.001227052039252339,0.01,0.00988119056107396,0.009999999999810128,0.29496,0.29950259676089735,0.29657999999999995,0.3011494447786768,0.0
