graph_type,n,noise_model,sigma,amplitude,pattern,repetition,signal_location,signal_norm,signal_graph_energy,rayleigh_quotient,lambda2,lambda_max,normalized_rayleigh,tau_spectral,pfa_mc,pfa_theory,pd_mc,pd_theory,pd_error,theoretical_mean_shift,empirical_mean_shift,mean_shift_error
star,20,iid,0.3,3.0,cluster,0,8;0;1;2,3.0,36.0,4.0,0.999999999999999,20.0,0.2,13.611378010981767,0.0102,0.010000000001224474,0.988,0.9857875560719396,0.0022124439280604147,36.0,35.90772219795722,-0.09227780204277991
star,20,iid,0.3,3.0,point,0,3,3.0,9.0,1.0,0.999999999999999,20.0,0.05,13.611378010981767,0.0102,0.010000000001224474,0.2734,0.27445157043383084,-0.0010515704338308618,9.0,9.066981418245103,0.06698141824510273
star,20,iid,0.3,3.0,edge_bipolar,0,0-7,2.9999999999999996,99.0,11.000000000000002,0.999999999999999,20.0,0.55,13.611378010981767,0.0102,0.010000000001224474,1.0,0.9999998445942694,1.5540573061745278e-07,99.0,99.10921074807331,0.1092107480733091
star,20,iid,0.3,3.0,high_frequency,0,lambda_max,2.9999999999999996,180.00000000000006,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,13.611378010981767,0.0102,0.010000000001224474,1.0,0.9999999999999387,6.128431095930864e-14,180.00000000000006,180.43186472460667,0.43186472460661207
star,20,iid,0.3,0.75,constant,1,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,13.611378010981767,0.0062,0.010000000001224474,0.0128,0.010000000001224474,0.0027999999987755268,3.7238012298709096e-17,0.03717996666724366,0.03717996666724362
star,20,iid,0.3,0.75,fiedler,1,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,13.611378010981767,0.0062,0.010000000001224474,0.0104,0.012054060299126368,-0.0016540602991263684,0.5625000000000001,0.5785509860545655,0.01605098605456534
star,20,iid,0.3,0.75,cluster,1,3;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,13.611378010981767,0.0062,0.010000000001224474,0.0642,0.06549988985466593,-0.0012998898546659338,2.25,2.198984441029584,-0.05101555897041621
star,20,iid,0.3,0.75,point,1,3,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,13.611378010981767,0.0062,0.010000000001224474,0.0108,0.01263409708955815,-0.001834097089558149,0.5625,0.5135976662654325,-0.04890233373456754
star,20,iid,0.3,0.75,edge_bipolar,1,0-14,0.7499999999999999,6.1875,11.000000000000002,0.999999999999999,20.0,0.55,13.611378010981767,0.0062,0.010000000001224474,0.233,0.23089824777924228,0.00210175222075773,6.1875,6.244569186005234,0.057069186005233696
star,20,iid,0.3,0.75,high_frequency,1,lambda_max,0.7499999999999999,11.250000000000004,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,13.611378010981767,0.0062,0.010000000001224474,0.4716,0.4680064916293989,0.0035935083706011284,11.250000000000004,11.461830369351258,0.21183036935125443
star,20,iid,0.3,1.5,constant,1,all,1.4999999999999998,1.4895204919483638e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,13.611378010981767,0.0062,0.010000000001224474,0.011,0.010000000001224474,0.0009999999987755255,1.4895204919483638e-16,0.0023333278331931773,0.0023333278331930285
star,20,iid,0.3,1.5,fiedler,1,fiedler,1.5000000000000002,2.2500000000000004,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,13.611378010981767,0.0062,0.010000000001224474,0.0238,0.021272303569312867,0.0025276964306871347,2.2500000000000004,2.2552160018861205,0.005216001886120036
